book_id,title,author,genre,publication_year,total_copies,available_copies,isbn,publisher,book_category,language,shelf_location,created_at,updated_at
166,Rise of Empire,Sophia Johnson,Biography,2016,8,4,384-6199113473,Penguin Random House,Non-Fiction,French,F6-18,2016-07-24,2016-10-14
167,Journey to Destiny,David Adeyemi,Biography,2017,8,8,965-3377247345,Cambridge Press,Non-Fiction,French,C3-14,2020-09-07,2021-04-20
168,Journey to Knowledge,Fatima Brown,Fantasy,2007,8,6,501-8499633444,Oxford Press,Fiction,Swahili,F6-12,2015-08-29,2016-08-21
169,Fall of Dreams,Linda Smith,Business,2011,38,27,437-8323172865,Cambridge Press,Non-Fiction,Swahili,D4-15,2020-09-30,2021-02-28
170,Inside Stars,Sophia Williams,Thriller,2002,16,8,163-4400508381,Oxford Press,Fiction,Arabic,H8-4,2024-02-01,2024-10-29
171,Return of Mind,Amina Williams,History,2019,47,31,635-7256832098,Pearson,Non-Fiction,French,B2-14,2015-12-13,2016-07-22
172,Secrets of Knowledge,Daniel Bello,Biography,2011,22,12,117-5132084029,Oxford Press,Non-Fiction,French,B2-3,2016-06-10,2017-02-19
173,Inside Shadow,David Garcia,Mystery,2023,46,42,328-2040441253,HarperCollins,Fiction,Swahili,C3-9,2019-01-30,2019-03-06
174,Fall of Knowledge,Daniel Adeyemi,Thriller,2005,24,9,553-3237278441,Hachette,Fiction,Swahili,B2-13,2016-06-19,2016-09-27
175,Journey to Dreams,Daniel Okafor,History,1995,26,4,432-9577174252,Scholastic,Non-Fiction,Arabic,B2-15,2016-08-11,2016-08-18
176,Inside Mind,Linda Bello,Biography,2003,25,10,792-1487433366,Cambridge Press,Non-Fiction,French,G7-12,2024-07-22,2024-07-29
177,Inside Power,Grace Garcia,Technology,2000,45,25,746-5995959286,Hachette,Non-Fiction,Swahili,D4-14,2019-10-07,2020-07-30
178,Return of Shadow,Fatima Brown,Technology,2002,26,24,605-3901236552,Scholastic,Non-Fiction,Arabic,B2-4,2017-07-11,2018-01-25
179,Chronicles of Dreams,Linda Johnson,Self-Help,2005,43,25,902-4706893759,Macmillan,Non-Fiction,Swahili,B2-9,2018-04-11,2018-09-24
180,Beyond Empire,Grace Adeyemi,Thriller,2002,13,11,776-3152706667,Oxford Press,Fiction,French,C3-10,2016-11-21,2017-10-25
181,Inside Empire,Daniel Johnson,Self-Help,2010,44,10,487-4034879840,Hachette,Non-Fiction,French,C3-6,2019-05-13,2020-04-17
182,Rise of Mind,Linda Johnson,Self-Help,1997,13,12,409-3381044989,Penguin Random House,Non-Fiction,English,F6-10,2022-09-09,2023-04-08
183,Fall of Empire,Daniel Brown,Technology,2001,30,23,324-6852688786,Oxford Press,Non-Fiction,Arabic,B2-8,2016-09-17,2017-07-28
184,Inside Future,Amina Johnson,Mystery,2022,27,4,308-5607243186,Hachette,Fiction,French,E5-7,2023-05-26,2023-12-30
185,Secrets of Innovation,Michael Williams,Thriller,2014,11,9,580-7091553179,Penguin Random House,Fiction,French,C3-4,2015-12-01,2016-07-06
186,Rise of Destiny,Linda Johnson,Thriller,1996,36,31,965-2471726381,Cambridge Press,Fiction,Swahili,E5-15,2017-03-31,2017-08-12
187,Rise of Shadow,Fatima Brown,Science Fiction,2001,49,44,882-8762965971,HarperCollins,Fiction,French,B2-1,2017-04-14,2018-02-12
188,Inside Destiny,Daniel Bello,Thriller,2017,6,6,978-6718931697,Macmillan,Fiction,English,F6-15,2022-12-15,2023-05-31
189,Return of Power,Sophia Martins,Fantasy,2022,29,29,385-1167954766,Cambridge Press,Fiction,English,D4-10,2023-10-11,2024-03-23
190,The Innovation,David Bello,Technology,2024,18,15,407-4690858042,HarperCollins,Non-Fiction,Swahili,C3-14,2017-07-07,2017-12-22
191,Journey to Dreams,Michael Martins,Thriller,2024,22,7,677-4129457192,Penguin Random House,Fiction,English,C3-20,2023-04-07,2023-11-14
192,Legacy of Innovation,Fatima Smith,Technology,2005,43,17,269-8739340991,Cambridge Press,Non-Fiction,French,H8-15,2017-05-17,2017-07-06
193,Rise of Knowledge,David Adeyemi,Biography,2018,22,9,927-5075686906,Pearson,Non-Fiction,Swahili,C3-17,2020-01-26,2020-02-17
194,Fall of Innovation,Sophia Adeyemi,History,2014,47,45,107-2215949230,Hachette,Non-Fiction,English,A1-8,2020-12-15,2021-08-21
195,Beyond Future,Michael Bello,Fantasy,1996,20,18,664-2197496673,Penguin Random House,Fiction,Arabic,F6-15,2024-02-10,2024-03-16
196,Inside Power,David Mensah,Self-Help,2017,20,18,970-5425181514,HarperCollins,Non-Fiction,English,A1-20,2024-06-28,2025-03-25
197,Beyond Innovation,Linda Johnson,History,2013,30,16,404-3378338089,Hachette,Non-Fiction,French,D4-11,2022-12-19,2023-06-17
198,Beyond Mind,Michael Williams,History,2022,30,23,407-5386923746,Pearson,Non-Fiction,English,G7-18,2019-04-30,2020-02-21
199,Secrets of Dreams,John Smith,Biography,2001,49,22,997-4089491290,HarperCollins,Non-Fiction,Swahili,H8-15,2019-08-04,2019-11-17
200,Inside Innovation,Daniel Mensah,History,1998,12,10,257-1353673987,Hachette,Non-Fiction,English,B2-17,2015-09-07,2015-11-02
201,Secrets of Power,Daniel Smith,History,2017,35,28,661-4361210950,Pearson,Non-Fiction,Arabic,C3-3,2024-10-24,2025-03-06
202,Fall of Destiny,Amina Brown,Self-Help,2021,8,7,779-9138832066,Oxford Press,Non-Fiction,English,G7-2,2020-12-25,2021-09-18
203,Journey to Power,Michael Adeyemi,Self-Help,2011,17,7,886-5546035618,Oxford Press,Non-Fiction,Arabic,H8-18,2018-11-23,2019-04-14
204,Return of Destiny,John Johnson,Self-Help,2004,50,36,254-1878574317,HarperCollins,Non-Fiction,Swahili,A1-5,2020-03-30,2021-03-27
205,The Stars,Grace Brown,Technology,2012,9,9,532-7840026402,Penguin Random House,Non-Fiction,Arabic,A1-15,2021-01-26,2021-12-22
206,Fall of Shadow,Linda Mensah,Mystery,2023,21,14,765-2530961836,Scholastic,Fiction,French,D4-16,2015-11-23,2015-12-29
207,Return of Innovation,Linda Brown,History,2005,48,25,579-6027970990,Hachette,Non-Fiction,English,F6-15,2022-11-05,2023-02-25
208,Secrets of Stars,John Mensah,Self-Help,2003,39,11,452-7338824524,Penguin Random House,Non-Fiction,Arabic,C3-2,2016-07-03,2017-04-30
209,Chronicles of Future,Michael Garcia,Mystery,2013,22,19,711-2860215504,Oxford Press,Fiction,English,D4-13,2018-07-18,2018-09-27
210,Fall of Innovation,Grace Adeyemi,Fantasy,2023,18,15,398-3422644022,HarperCollins,Fiction,Arabic,H8-9,2017-10-09,2018-05-05
211,Inside Destiny,Michael Mensah,Science Fiction,2009,15,11,644-9320716414,Penguin Random House,Fiction,French,E5-10,2018-07-19,2019-05-15
212,Rise of Shadow,Grace Williams,Business,2015,49,40,310-3143530851,Hachette,Non-Fiction,Swahili,H8-3,2021-01-14,2021-06-30
213,Rise of Shadow,David Brown,Romance,2014,20,10,745-8723196008,HarperCollins,Fiction,French,A1-16,2015-03-02,2015-08-26
214,Legacy of Shadow,David Mensah,History,2008,49,42,714-3660634798,Macmillan,Non-Fiction,Arabic,G7-3,2015-06-01,2016-03-28
215,The Dreams,John Bello,Thriller,2008,40,4,908-6695287685,Pearson,Fiction,English,H8-11,2020-04-01,2021-01-02
216,Fall of Power,Grace Smith,Biography,1999,30,28,461-3079279033,Cambridge Press,Non-Fiction,French,G7-10,2019-06-12,2020-02-28
217,Beyond Power,Grace Mensah,Science Fiction,2024,39,34,526-7740338988,HarperCollins,Fiction,Arabic,H8-2,2017-06-20,2017-12-14
218,Rise of Mind,James Martins,Biography,2004,23,19,767-4043201582,Oxford Press,Non-Fiction,French,C3-5,2021-05-05,2021-09-21
219,The Dreams,Amina Smith,Technology,2014,17,15,335-4849296682,HarperCollins,Non-Fiction,Swahili,F6-20,2015-07-22,2016-07-03
220,Beyond Dreams,John Johnson,Thriller,2020,21,16,312-4737359890,Hachette,Fiction,Swahili,D4-18,2023-05-10,2023-07-07
221,Beyond Innovation,Linda Johnson,Science Fiction,2000,40,28,212-9105695629,HarperCollins,Fiction,Swahili,B2-15,2015-10-22,2016-03-01
222,Return of Destiny,Linda Adeyemi,Biography,2006,28,9,885-5608413768,Scholastic,Non-Fiction,Arabic,A1-15,2022-11-27,2023-11-13
223,Beyond Knowledge,Fatima Martins,Fantasy,2009,28,5,359-9507979483,Scholastic,Fiction,Swahili,G7-17,2024-02-22,2025-01-29
224,Beyond Stars,John Williams,Romance,2020,47,30,520-1408274567,Penguin Random House,Fiction,French,G7-6,2017-12-11,2018-12-04
225,The Stars,James Johnson,Self-Help,1999,7,4,774-5144369692,Penguin Random House,Non-Fiction,Swahili,F6-20,2015-04-19,2015-11-12
226,Rise of Destiny,Daniel Garcia,Business,2009,12,7,511-7470683848,Penguin Random House,Non-Fiction,English,H8-20,2015-11-26,2016-06-20
227,Return of Mind,Daniel Garcia,Business,2011,9,8,843-4406280947,Scholastic,Non-Fiction,Swahili,D4-3,2022-10-12,2023-03-05
228,Inside Empire,John Smith,Thriller,2023,11,10,493-9223870155,Pearson,Fiction,Swahili,C3-10,2021-11-20,2022-07-19
229,The Innovation,Linda Mensah,Mystery,2000,8,4,722-2722288540,HarperCollins,Fiction,Arabic,G7-6,2018-02-28,2018-11-29
230,Chronicles of Innovation,Fatima Johnson,History,2012,16,10,805-2166518416,Cambridge Press,Non-Fiction,Arabic,G7-6,2018-09-07,2019-02-13
231,Inside Mind,Sophia Okafor,Self-Help,2004,12,6,615-6517382286,Hachette,Non-Fiction,English,C3-14,2024-02-26,2024-04-03
232,Return of Future,John Martins,Fantasy,2023,31,29,445-5973568857,Oxford Press,Fiction,Arabic,H8-4,2016-12-31,2017-03-19
233,Journey to Power,Amina Okafor,Biography,2014,19,9,229-2485095874,Cambridge Press,Non-Fiction,Swahili,C3-15,2017-10-06,2017-11-23
234,Rise of Stars,Fatima Adeyemi,Technology,2005,21,15,200-2141767424,HarperCollins,Non-Fiction,French,E5-2,2018-01-05,2018-11-14
235,Chronicles of Dreams,Amina Brown,Biography,2013,21,4,991-1515096917,Scholastic,Non-Fiction,Swahili,H8-11,2015-12-21,2016-11-24
236,The Innovation,Daniel Bello,History,2016,44,23,532-8215250903,Scholastic,Non-Fiction,English,H8-19,2021-04-08,2022-04-02
237,Secrets of Empire,Amina Johnson,History,1997,25,15,538-3516336067,Hachette,Non-Fiction,English,G7-5,2023-03-22,2024-03-01
238,Return of Mind,Amina Bello,Business,2001,5,4,484-5577282724,Penguin Random House,Non-Fiction,English,D4-12,2016-05-09,2017-03-27
239,Rise of Empire,Amina Brown,History,2016,8,7,672-5201564156,Penguin Random House,Non-Fiction,Arabic,E5-10,2018-01-25,2018-05-18
240,Fall of Innovation,Linda Johnson,History,2010,45,5,118-8406203127,Hachette,Non-Fiction,Arabic,G7-3,2017-09-27,2018-07-23
241,Rise of Future,Grace Martins,Mystery,2011,27,26,378-9897155241,Penguin Random House,Fiction,Swahili,H8-15,2016-07-16,2016-08-01
242,Legacy of Dreams,Michael Mensah,Self-Help,1999,24,10,458-8278024413,Oxford Press,Non-Fiction,French,D4-9,2016-09-30,2017-09-29
243,Legacy of Destiny,Fatima Martins,Biography,2006,39,38,778-7559359734,Cambridge Press,Non-Fiction,English,H8-5,2021-01-13,2021-08-29
244,The Empire,Sophia Okafor,Technology,1996,32,11,570-1557177476,HarperCollins,Non-Fiction,Arabic,F6-13,2017-05-17,2018-01-15
245,Inside Future,John Mensah,Thriller,2016,42,29,601-9189067088,Macmillan,Fiction,French,H8-12,2023-05-20,2024-04-06
246,Legacy of Innovation,Fatima Garcia,Self-Help,2000,37,23,471-8189294097,Macmillan,Non-Fiction,Arabic,G7-19,2024-03-30,2024-04-24
247,The Stars,Grace Adeyemi,History,2014,5,5,347-2191465816,HarperCollins,Non-Fiction,French,B2-6,2015-09-30,2015-11-20
248,Rise of Power,Amina Johnson,Fantasy,2009,22,20,893-4223915035,Cambridge Press,Fiction,Swahili,C3-18,2020-12-06,2021-02-26
249,Secrets of Power,Linda Johnson,Fantasy,2005,6,4,476-7230293024,Penguin Random House,Fiction,Arabic,C3-20,2016-07-31,2017-04-21
250,Legacy of Innovation,John Bello,Self-Help,1999,29,24,256-4381010050,Hachette,Non-Fiction,French,E5-2,2015-05-03,2016-02-03
251,Chronicles of Stars,Daniel Johnson,Science Fiction,2014,27,5,971-4833462270,HarperCollins,Fiction,Swahili,E5-2,2019-05-31,2019-12-13
252,Legacy of Empire,Michael Bello,Fantasy,1997,42,14,558-8685860348,Penguin Random House,Fiction,Swahili,H8-19,2017-03-25,2017-09-28
253,Inside Destiny,Fatima Okafor,Romance,2005,39,35,436-3605987371,Scholastic,Fiction,English,B2-2,2024-01-10,2024-04-17
254,Rise of Shadow,Sophia Bello,Mystery,1996,46,9,922-4341660340,Cambridge Press,Fiction,French,F6-3,2018-06-06,2018-11-07
255,Chronicles of Mind,Grace Williams,Fantasy,2003,11,10,512-8658031047,Hachette,Fiction,English,G7-1,2024-09-23,2025-01-07
256,Legacy of Knowledge,Amina Martins,History,2006,9,8,774-9373333572,HarperCollins,Non-Fiction,French,A1-8,2017-07-05,2018-06-15
257,Secrets of Power,Linda Williams,Technology,2016,13,4,137-8902093146,Hachette,Non-Fiction,French,C3-6,2024-01-09,2024-10-04
258,Legacy of Mind,John Smith,Technology,2002,31,25,542-1926702485,HarperCollins,Non-Fiction,Swahili,E5-13,2016-01-11,2016-04-19
259,The Mind,David Okafor,Self-Help,2011,12,4,880-6574081925,Macmillan,Non-Fiction,English,E5-15,2024-12-23,2025-10-22
260,Inside Empire,Fatima Williams,Biography,2007,5,5,395-1368521365,HarperCollins,Non-Fiction,Arabic,A1-2,2021-06-09,2022-05-29
261,Legacy of Future,Grace Williams,Science Fiction,2008,16,6,432-1252141333,Macmillan,Fiction,Swahili,E5-15,2017-10-22,2018-04-20
262,Chronicles of Stars,James Johnson,Romance,2006,47,7,857-7133069103,Scholastic,Fiction,Arabic,F6-15,2015-11-13,2016-08-06
263,Rise of Knowledge,Daniel Brown,Science Fiction,2014,37,5,106-7160359675,Macmillan,Fiction,Swahili,B2-1,2019-08-24,2020-05-06
264,Fall of Destiny,Michael Martins,Thriller,2014,29,21,182-8745433948,HarperCollins,Fiction,Arabic,B2-5,2021-10-06,2022-04-10
265,The Innovation,David Mensah,Biography,1995,8,4,208-4110372472,Oxford Press,Non-Fiction,Arabic,E5-15,2020-10-08,2021-01-15
266,Rise of Destiny,John Okafor,Self-Help,2009,6,4,888-3793728130,Scholastic,Non-Fiction,Arabic,F6-2,2019-07-04,2019-08-11
267,Inside Dreams,Daniel Bello,Self-Help,2021,26,12,420-6177838300,HarperCollins,Non-Fiction,Arabic,F6-10,2021-03-09,2022-02-26
268,Chronicles of Innovation,Amina Martins,Mystery,2009,41,5,315-8570352075,Macmillan,Fiction,French,C3-7,2024-03-14,2024-12-05
269,Rise of Shadow,Grace Martins,Biography,2017,40,22,792-5209341292,Hachette,Non-Fiction,Arabic,H8-12,2022-03-27,2022-12-25
270,Secrets of Empire,Daniel Johnson,Biography,2010,46,30,415-6571462348,Penguin Random House,Non-Fiction,English,G7-9,2024-10-27,2025-01-08
271,Legacy of Destiny,Sophia Okafor,Romance,2021,34,23,796-4357433692,HarperCollins,Fiction,Arabic,A1-7,2024-02-28,2024-03-12
272,Legacy of Innovation,David Garcia,Technology,2023,18,6,705-3908109220,Cambridge Press,Non-Fiction,Swahili,B2-8,2019-07-09,2019-10-05
273,Chronicles of Innovation,Michael Johnson,Thriller,2024,41,12,741-2968535672,HarperCollins,Fiction,Swahili,H8-20,2018-03-14,2019-02-16
274,Chronicles of Dreams,Daniel Williams,Mystery,2021,12,8,440-1766359290,Macmillan,Fiction,English,E5-9,2018-10-21,2019-08-20
275,Return of Empire,Linda Brown,Romance,2007,33,8,780-2746215022,HarperCollins,Fiction,Arabic,D4-9,2018-06-01,2018-11-25
276,The Shadow,David Martins,Fantasy,2011,24,9,933-7836052873,Macmillan,Fiction,Arabic,C3-18,2022-06-08,2023-04-05
277,Journey to Mind,David Brown,Self-Help,2012,48,18,161-9234889884,Macmillan,Non-Fiction,Swahili,A1-9,2019-07-22,2020-02-14
278,Journey to Knowledge,David Johnson,Romance,2007,14,5,473-3487467037,Penguin Random House,Fiction,Swahili,B2-10,2019-02-03,2019-04-21
279,Chronicles of Knowledge,John Brown,Science Fiction,2004,25,13,989-5416774073,Cambridge Press,Fiction,Swahili,E5-14,2022-08-13,2022-08-19
280,Beyond Destiny,Michael Bello,Technology,2020,28,18,100-8956926985,Scholastic,Non-Fiction,Swahili,A1-14,2019-03-22,2019-06-23
281,Chronicles of Mind,Grace Garcia,History,2004,21,6,155-7080717550,HarperCollins,Non-Fiction,French,H8-15,2020-05-19,2021-01-26
282,Return of Dreams,Fatima Williams,Biography,2011,33,23,793-8613459806,Scholastic,Non-Fiction,Swahili,E5-10,2023-09-12,2024-08-14
283,Legacy of Knowledge,Michael Johnson,Biography,2008,33,17,825-6851120263,Hachette,Non-Fiction,French,G7-6,2020-07-17,2021-01-01
284,Legacy of Knowledge,Fatima Smith,Biography,1996,32,15,930-1630673728,Cambridge Press,Non-Fiction,Arabic,C3-5,2019-06-21,2019-09-23
285,The Empire,John Williams,Self-Help,1996,44,5,560-9892923397,HarperCollins,Non-Fiction,Arabic,A1-2,2019-10-30,2020-02-23
286,Secrets of Empire,Linda Mensah,Business,2024,23,11,592-2382620732,Cambridge Press,Non-Fiction,Swahili,F6-9,2019-01-27,2020-01-25
287,Journey to Shadow,James Smith,Mystery,2019,13,10,587-6096799421,Cambridge Press,Fiction,English,E5-16,2021-03-19,2022-01-27
288,Return of Mind,Michael Smith,History,2009,21,8,117-6028327566,Macmillan,Non-Fiction,French,D4-2,2023-11-25,2024-08-12
289,Secrets of Future,John Smith,Technology,2018,42,23,191-9502950724,Pearson,Non-Fiction,Swahili,F6-8,2023-01-22,2023-06-26
290,Journey to Mind,Grace Mensah,Mystery,2024,6,6,833-5942273233,Penguin Random House,Fiction,French,F6-14,2020-09-17,2021-06-21
291,Journey to Knowledge,Linda Johnson,Thriller,2006,46,31,169-1859842385,HarperCollins,Fiction,English,E5-1,2019-04-19,2019-09-01
292,Journey to Power,Amina Martins,History,2021,12,12,551-9820535923,Scholastic,Non-Fiction,Swahili,E5-1,2023-05-26,2023-06-18
293,Chronicles of Dreams,Daniel Williams,Mystery,2019,12,6,779-5071829589,Hachette,Fiction,French,A1-10,2016-03-22,2016-07-07
294,Return of Knowledge,John Johnson,Mystery,2005,13,4,477-1003035238,Oxford Press,Fiction,French,C3-2,2023-03-30,2024-03-06
295,Fall of Power,David Smith,Biography,2002,50,43,706-4823752025,HarperCollins,Non-Fiction,English,C3-15,2019-06-02,2020-04-05
296,Inside Mind,John Mensah,Self-Help,2008,47,34,622-1351176147,HarperCollins,Non-Fiction,English,E5-13,2017-05-10,2017-09-26
297,Chronicles of Power,Fatima Johnson,Fantasy,2018,15,6,837-4698327551,Macmillan,Fiction,Arabic,E5-14,2021-07-07,2021-12-17
298,Legacy of Knowledge,Daniel Smith,History,2011,38,11,398-1891503495,Cambridge Press,Non-Fiction,French,G7-8,2020-10-26,2021-02-19
299,Secrets of Knowledge,David Mensah,Business,2008,10,9,624-1150504228,Scholastic,Non-Fiction,Arabic,E5-20,2018-07-25,2018-08-25
300,The Dreams,John Bello,Self-Help,2000,27,7,564-5729566424,Hachette,Non-Fiction,English,E5-3,2019-03-12,2019-10-20
301,Beyond Dreams,John Adeyemi,History,2021,38,20,505-2668368455,Scholastic,Non-Fiction,English,G7-3,2022-09-22,2023-07-22
302,Chronicles of Stars,Sophia Bello,Romance,2016,12,11,528-4091747957,Scholastic,Fiction,French,F6-19,2018-09-06,2018-12-08
303,Secrets of Innovation,Linda Smith,Thriller,1996,21,14,992-8498156516,HarperCollins,Fiction,Swahili,E5-16,2016-05-17,2017-03-26
304,Rise of Empire,John Bello,Thriller,2013,43,33,693-5577590835,HarperCollins,Fiction,Arabic,F6-7,2016-03-14,2016-09-13
305,Journey to Stars,John Mensah,Romance,2001,21,18,834-2812045599,Hachette,Fiction,English,D4-4,2023-08-09,2023-09-21
306,Journey to Dreams,Amina Mensah,Business,2021,14,13,251-4330764978,HarperCollins,Non-Fiction,French,G7-18,2016-01-07,2016-07-18
307,Legacy of Knowledge,Grace Johnson,Technology,2008,12,7,193-8047871078,Hachette,Non-Fiction,French,E5-13,2019-02-10,2019-11-08
308,Fall of Innovation,Fatima Smith,History,2000,26,16,245-4756993311,Hachette,Non-Fiction,English,E5-10,2015-07-02,2016-05-26
309,Chronicles of Knowledge,Linda Okafor,History,2022,22,18,218-8857649526,Pearson,Non-Fiction,English,A1-13,2024-01-01,2024-07-12
310,The Stars,John Mensah,Self-Help,2001,9,5,512-2888379871,HarperCollins,Non-Fiction,English,C3-5,2020-07-28,2020-11-03
311,Chronicles of Dreams,James Williams,Romance,2003,9,4,341-1935510694,HarperCollins,Fiction,French,A1-4,2023-11-22,2023-12-18
312,Rise of Mind,John Adeyemi,Fantasy,2002,14,13,706-1479145779,HarperCollins,Fiction,French,B2-4,2020-01-21,2021-01-17
313,Rise of Shadow,David Williams,Technology,2017,8,5,514-6348042353,Cambridge Press,Non-Fiction,Swahili,H8-19,2017-10-20,2017-11-21
314,Secrets of Power,Fatima Mensah,Thriller,2020,26,5,993-5833522441,Pearson,Fiction,Swahili,D4-14,2018-01-09,2018-04-26
315,Legacy of Destiny,Fatima Garcia,Mystery,1998,24,4,367-7147899267,Scholastic,Fiction,French,F6-15,2018-02-21,2018-09-13
316,Secrets of Future,James Smith,Technology,2022,8,4,181-4515308586,Cambridge Press,Non-Fiction,English,A1-5,2019-03-16,2019-05-18
317,Chronicles of Shadow,John Martins,Mystery,2001,15,7,291-1893161481,Macmillan,Fiction,English,B2-2,2017-02-19,2017-07-17
318,Secrets of Knowledge,Daniel Garcia,Business,2008,32,25,679-3538951077,Hachette,Non-Fiction,French,G7-4,2017-06-10,2017-10-29
319,Secrets of Innovation,Sophia Smith,History,2016,46,42,796-6643195807,Hachette,Non-Fiction,French,G7-2,2024-09-07,2025-05-30
320,Chronicles of Dreams,Fatima Okafor,Business,1997,12,8,540-7580478563,Penguin Random House,Non-Fiction,English,F6-2,2020-01-31,2020-07-28
321,Inside Knowledge,James Adeyemi,Mystery,1996,20,10,731-5842451824,Penguin Random House,Fiction,Swahili,B2-15,2017-09-20,2017-10-18
322,The Empire,Amina Brown,Biography,1996,14,11,969-4588085042,Oxford Press,Non-Fiction,Arabic,F6-13,2015-07-04,2016-03-07
323,The Knowledge,Fatima Johnson,History,1997,6,4,527-7201900762,Penguin Random House,Non-Fiction,English,A1-6,2016-12-28,2017-07-22
324,Inside Dreams,David Brown,Thriller,2002,14,10,327-6260025955,Oxford Press,Fiction,Arabic,G7-6,2020-01-20,2020-02-02
325,Secrets of Destiny,David Williams,Romance,2019,31,9,571-2258241986,Pearson,Fiction,Swahili,H8-1,2015-02-02,2015-02-14
326,Journey to Shadow,Grace Okafor,Mystery,2013,43,26,874-2150882902,Cambridge Press,Fiction,Arabic,E5-6,2015-05-22,2015-09-28
327,Legacy of Destiny,Linda Garcia,Fantasy,1998,11,9,945-5003844286,Macmillan,Fiction,English,B2-19,2023-07-18,2023-09-15
328,Return of Power,Linda Williams,Business,2002,28,6,699-4055467663,Pearson,Non-Fiction,Arabic,B2-16,2017-09-03,2018-06-08
329,Chronicles of Stars,Linda Bello,Romance,1996,16,16,950-7174853648,Hachette,Fiction,French,G7-2,2024-11-09,2024-11-14
330,Rise of Shadow,Daniel Martins,Self-Help,2014,48,16,449-3287316329,HarperCollins,Non-Fiction,English,C3-4,2016-11-17,2016-12-20
331,Beyond Power,Grace Okafor,Thriller,1998,44,9,940-6196350738,Scholastic,Fiction,Arabic,G7-12,2024-09-14,2025-09-06
